age,marital,housing,loan,duration,campaign,pdays,previous,education_numeric,P_i,is_primary,is_secondary,is_tertiary
39,1,1,1,287,3,117,2,2,0.03197025679784405,0,1,0
37,1,0,1,1000,1,-1,0,2,0.5951043408816482,0,1,0
27,2,0,0,825,1,183,4,3,0.8420668468932598,0,0,1
41,1,1,1,89,1,-1,0,2,0.014047753549750616,0,1,0
26,1,1,1,143,1,-1,0,2,0.013527762499335296,0,1,0
38,1,1,0,144,2,-1,0,2,0.025025218261878448,0,1,0
39,1,0,0,1181,2,-1,0,2,0.8504973266744327,0,1,0
31,1,1,1,1039,7,-1,0,1,0.1365814312858423,1,0,0
74,1,0,0,268,2,181,3,3,0.3633857266879529,0,0,1
24,2,0,0,66,1,330,1,2,0.18167885083933888,0,1,0
51,1,0,1,118,4,-1,0,2,0.020397744515145727,0,1,0
43,1,0,0,603,2,-1,0,3,0.41334541364427074,0,0,1
40,1,1,0,222,2,363,4,3,0.1709710975874374,0,0,1
28,2,1,0,232,3,-1,0,2,0.03885409955313613,0,1,0
32,1,1,0,116,4,-1,0,2,0.018142006485765527,0,1,0
38,1,1,0,427,3,-1,0,1,0.04915582025448473,1,0,0
56,1,0,0,215,1,-1,0,1,0.09536216710238275,1,0,0
25,2,1,0,195,1,13,1,2,0.04732269136368221,0,1,0
25,2,0,0,98,3,-1,0,3,0.09444990109251579,0,0,1
26,2,0,0,232,3,-1,0,2,0.09849366645550922,0,1,0
37,1,0,0,123,4,-1,0,2,0.06342088418270575,0,1,0
31,2,1,0,68,3,256,51,3,0.7778665923197515,0,0,1
55,1,1,1,100,1,100,6,2,0.03180558457974815,0,1,0
34,2,1,0,208,1,357,1,1,0.09687833380062151,1,0,0
37,1,1,0,165,2,-1,0,1,0.020052223225042763,1,0,0
47,0,0,0,54,3,-1,0,2,0.0466541559936321,0,1,0
46,1,1,0,51,9,-1,0,1,0.005536526538381443,1,0,0
51,0,1,1,862,1,-1,0,2,0.1959033150278848,0,1,0
53,1,1,0,10,3,-1,0,2,0.01530314813272607,0,1,0
44,0,1,0,650,3,-1,0,2,0.13256503691112928,0,1,0
49,1,1,0,65,1,358,1,3,0.09522364306317668,0,0,1
55,1,0,0,111,2,-1,0,3,0.09744473809546825,0,0,1
29,2,0,0,248,1,-1,0,3,0.1775150938094989,0,0,1
44,2,0,1,209,2,351,3,2,0.2070050996083195,0,1,0
41,2,1,0,262,1,349,1,1,0.1312501525999997,1,0,0
47,1,0,1,243,4,161,2,3,0.08224275535258668,0,0,1
36,1,0,0,965,4,-1,0,2,0.6317201281889067,0,1,0
41,0,1,0,238,3,126,4,1,0.03907621646027837,1,0,0
43,1,1,1,329,2,-1,0,3,0.04106476989520585,0,0,1
42,1,1,0,167,3,-1,0,1,0.017949652616499716,1,0,0
32,2,1,0,20,17,-1,0,3,0.003771728586266257,0,0,1
52,1,1,0,153,4,-1,0,2,0.02184325076709436,0,1,0
20,2,0,0,69,4,182,4,1,0.09201860319919761,1,0,0
47,1,1,0,352,1,-1,0,2,0.06547388702749295,0,1,0
57,1,0,0,197,2,-1,0,2,0.1033906321730802,0,1,0
49,0,1,0,42,2,206,5,2,0.042937899429590885,0,1,0
32,2,1,0,243,1,-1,0,2,0.055185560388033246,0,1,0
25,2,1,1,110,4,-1,0,2,0.010931512930053625,0,1,0
40,1,0,0,292,2,-1,0,1,0.10011668171621604,1,0,0
44,1,1,1,54,8,-1,0,3,0.006291888644492691,0,0,1
27,1,1,1,364,1,-1,0,2,0.03516165989718998,0,1,0
42,1,1,0,765,1,-1,0,3,0.3314208450130938,0,0,1
52,1,0,0,163,3,-1,0,3,0.10172114759374763,0,0,1
30,2,0,0,111,1,35,1,3,0.14330497944861686,0,0,1
55,1,0,0,151,1,-1,0,3,0.14070961983584773,0,0,1
55,1,0,1,264,2,-1,0,2,0.0794494418408381,0,1,0
43,1,1,0,73,5,-1,0,2,0.014381400074269083,0,1,0
37,0,1,0,39,1,-1,0,3,0.01935746567374986,0,0,1
48,0,1,0,89,2,-1,0,3,0.023622250310741267,0,0,1
34,1,1,1,32,15,-1,0,2,0.0016661124610225125,0,1,0
49,0,1,1,253,1,140,1,3,0.04603696660578511,0,0,1
71,1,0,0,747,2,-1,0,2,0.5550679467051763,0,1,0
35,2,1,0,359,3,-1,0,2,0.06041510279192246,0,1,0
52,1,0,0,935,2,-1,0,2,0.6635447283940799,0,1,0
35,2,0,0,164,2,89,2,3,0.20359776121112966,0,0,1
34,0,1,0,67,3,-1,0,2,0.014710379342657523,0,1,0
56,1,1,0,156,2,-1,0,3,0.04066754765163378,0,0,1
47,1,0,0,180,6,-1,0,3,0.07603110061242194,0,0,1
47,1,0,0,116,1,-1,0,2,0.07993607674858795,0,1,0
67,1,0,0,234,1,-1,0,1,0.12477146795397977,1,0,0
25,2,1,0,135,2,-1,0,2,0.029759822429988533,0,1,0
46,2,0,0,428,1,-1,0,2,0.2932453738204914,0,1,0
40,1,1,0,175,3,-1,0,2,0.02791509654243488,0,1,0
44,1,1,0,201,2,330,8,3,0.19285986720857065,0,0,1
38,1,0,0,57,2,-1,0,2,0.07010359829006516,0,1,0
33,0,1,1,167,5,-1,0,2,0.00578130499465672,0,1,0
33,2,0,1,147,6,-1,0,3,0.039817507712073305,0,0,1
37,2,0,0,29,4,349,1,3,0.17836576816791902,0,0,1
51,1,0,0,388,1,-1,0,2,0.2136593863273858,0,1,0
36,0,1,0,244,3,313,1,2,0.06865718438466271,0,1,0
47,0,0,0,127,1,-1,0,1,0.05530487505881432,1,0,0
31,1,1,1,323,2,-1,0,3,0.034187327925334084,0,0,1
43,0,1,0,123,2,-1,0,3,0.02712445188118146,0,0,1
30,1,1,0,60,2,-1,0,3,0.024239514093786437,0,0,1
50,0,0,0,513,3,-1,0,2,0.20450013014488783,0,1,0
70,0,0,0,50,2,-1,0,1,0.0421205598174771,1,0,0
31,2,0,0,669,2,-1,0,3,0.5127984478572429,0,0,1
41,1,1,0,250,2,-1,0,2,0.04239707869908051,0,1,0
32,1,1,0,956,9,-1,0,2,0.18567392845833053,0,1,0
40,2,0,0,671,2,-1,0,2,0.4875688154163532,0,1,0
50,1,0,0,386,2,-1,0,2,0.20663267582751133,0,1,0
40,1,0,1,161,1,-1,0,2,0.05674595126730458,0,1,0
34,0,1,0,43,2,-1,0,1,0.011532387115959436,1,0,0
35,2,1,0,279,1,266,1,3,0.16643720103179263,0,0,1
35,1,1,0,220,6,-1,0,3,0.027089091578364834,0,0,1
40,2,1,0,159,1,365,1,3,0.16137616259536464,0,0,1
43,2,1,0,92,3,374,1,2,0.0771218726494715,0,1,0
49,1,0,0,198,2,-1,0,2,0.10813532310560937,0,1,0
31,2,0,0,174,2,-1,0,2,0.11187900101098358,0,1,0
48,1,0,0,166,2,-1,0,2,0.08353347516312298,0,1,0
34,1,1,1,50,4,-1,0,2,0.007739254841193363,0,1,0
39,1,1,0,272,4,-1,0,3,0.044333607084560876,0,0,1
57,1,0,0,93,4,-1,0,2,0.059321149430356705,0,1,0
26,2,1,0,72,3,-1,0,2,0.020024022721835087,0,1,0
38,1,1,0,221,2,-1,0,3,0.04703423914942143,0,0,1
30,1,1,0,112,3,-1,0,2,0.02023364721864957,0,1,0
49,1,1,0,168,5,-1,0,2,0.01984221650560998,0,1,0
38,2,1,0,498,1,358,1,2,0.3415894879558631,0,1,0
55,1,1,0,42,3,-1,0,2,0.01797545121420559,0,1,0
35,2,1,0,122,2,-1,0,2,0.030038140495871016,0,1,0
33,1,1,0,132,2,-1,0,2,0.023351386737551945,0,1,0
39,2,1,0,369,2,350,1,2,0.21142529999489548,0,1,0
47,1,1,1,1256,1,-1,0,3,0.6485213874301716,0,0,1
35,2,0,0,163,1,-1,0,2,0.10975573282701631,0,1,0
31,1,1,0,175,2,-1,0,2,0.027408098698722155,0,1,0
25,2,0,0,101,2,-1,0,2,0.07731358009147796,0,1,0
37,2,0,0,129,4,-1,0,3,0.09772460386393388,0,0,1
35,1,1,0,57,8,-1,0,2,0.008558267950307116,0,1,0
34,1,0,0,125,2,-1,0,3,0.09260796280948706,0,0,1
32,1,1,0,1156,1,-1,0,2,0.6170433650007683,0,1,0
43,1,1,0,280,2,-1,0,3,0.06051467147587891,0,0,1
43,1,1,0,578,1,-1,0,1,0.12268054225486581,1,0,0
51,2,1,0,126,8,-1,0,2,0.014200451457488486,0,1,0
39,1,1,0,172,4,-1,0,2,0.02201609603095639,0,1,0
60,1,1,0,153,3,-1,0,3,0.036608789585960616,0,0,1
27,2,1,0,345,1,-1,0,2,0.07913800184510955,0,1,0
45,0,0,0,653,2,-1,0,2,0.35605962305587335,0,1,0
40,1,0,0,166,4,-1,0,2,0.07037248259234671,0,1,0
40,1,0,1,160,3,-1,0,2,0.03878246864861056,0,1,0
46,1,0,1,139,4,-1,0,2,0.037286085648219336,0,1,0
41,1,0,0,117,3,-1,0,1,0.04681626804412667,1,0,0
31,1,1,0,40,2,-1,0,2,0.01554292022899196,0,1,0
37,1,1,0,289,2,174,4,3,0.1382860439558561,0,0,1
27,2,0,0,59,3,-1,0,3,0.07632281972877986,0,0,1
31,1,1,0,111,1,-1,0,3,0.03279342431950677,0,0,1
69,1,0,0,666,1,90,4,2,0.622743266196547,0,1,0
31,2,1,0,12,2,-1,0,2,0.0184265451591862,0,1,0
24,2,1,0,133,1,67,2,3,0.06101763835385076,0,0,1
29,2,0,0,346,2,-1,0,3,0.21864811569548065,0,0,1
57,0,0,0,121,2,-1,0,2,0.06358382013098025,0,1,0
44,1,1,0,64,1,-1,0,2,0.023825443147096198,0,1,0
29,2,0,0,76,1,-1,0,2,0.07270480422927848,0,1,0
26,2,0,0,11,7,-1,0,3,0.042532279542302334,0,0,1
46,0,0,0,67,1,41,1,3,0.10072039172317993,0,0,1
48,2,1,0,134,1,-1,0,1,0.028791086725671492,1,0,0
48,1,1,0,413,2,-1,0,1,0.056918569011695494,1,0,0
36,0,0,1,62,5,-1,0,3,0.015170071750840319,0,0,1
27,2,0,0,82,3,-1,0,2,0.06846813688972211,0,1,0
30,1,0,0,65,4,-1,0,3,0.06245533893306391,0,0,1
50,2,0,0,141,2,-1,0,2,0.10627917510922677,0,1,0
49,1,0,0,50,2,-1,0,2,0.06824054287104957,0,1,0
44,1,1,1,364,1,262,2,2,0.10018228838760013,0,1,0
37,1,0,0,55,4,-1,0,2,0.04862838795196422,0,1,0
58,1,1,0,35,1,-1,0,1,0.016807054907658107,1,0,0
50,0,1,0,294,2,-1,0,2,0.03809791095007505,0,1,0
37,2,1,0,249,2,-1,0,2,0.050576145948917114,0,1,0
31,2,1,0,127,4,-1,0,3,0.028258909160939136,0,0,1
35,2,1,0,215,1,-1,0,3,0.06542241363453216,0,0,1
48,1,0,0,295,1,-1,0,2,0.24768283278561018,0,1,0
55,1,1,0,52,3,-1,0,1,0.013319659412464862,1,0,0
33,2,0,0,139,2,95,1,3,0.16456761100531067,0,0,1
38,1,1,0,147,1,-1,0,2,0.032749671683450686,0,1,0
32,2,1,0,192,2,-1,0,3,0.054262968833227655,0,0,1
35,1,1,0,372,2,-1,0,3,0.10242466687521332,0,0,1
28,1,1,0,169,1,-1,0,3,0.037714279196762915,0,0,1
55,1,1,0,126,2,-1,0,2,0.026053754751437376,0,1,0
32,1,1,0,923,3,-1,0,2,0.30765757571978125,0,1,0
51,1,0,0,139,3,-1,0,3,0.09510867747809293,0,0,1
38,0,1,0,8,2,-1,0,3,0.017811290013322836,0,0,1
40,1,1,0,143,2,-1,0,2,0.016210695932417557,0,1,0
43,1,1,0,110,1,-1,0,3,0.03521146212418178,0,0,1
25,2,0,0,813,2,-1,0,3,0.6492468459510831,0,0,1
60,1,1,0,58,2,-1,0,1,0.017533654624975994,1,0,0
30,1,1,0,659,4,-1,0,2,0.12758646560474643,0,1,0
59,1,1,0,1970,3,-1,0,2,0.9739936038919144,0,1,0
54,1,0,0,251,1,186,3,2,0.31904838108272987,0,1,0
47,1,1,0,376,2,-1,0,2,0.06376848022610541,0,1,0
30,2,0,0,91,4,-1,0,3,0.07759967609197627,0,0,1
59,1,1,0,226,1,-1,0,2,0.04529820163829478,0,1,0
31,1,1,0,214,2,-1,0,2,0.03312664532111111,0,1,0
31,2,0,0,206,1,-1,0,3,0.16245914842352033,0,0,1
33,2,0,0,978,1,-1,0,3,0.8015378998077235,0,0,1
53,1,1,0,49,4,-1,0,2,0.015026080241637723,0,1,0
29,2,1,0,338,3,-1,0,3,0.07803992947556725,0,0,1
56,0,0,1,240,3,-1,0,2,0.04706719571324828,0,1,0
30,1,1,0,176,21,-1,0,2,0.0021144056783984886,0,1,0
56,1,0,0,167,1,92,2,2,0.16057080771175128,0,1,0
37,2,1,0,110,3,-1,0,2,0.025726125130234145,0,1,0
24,1,1,0,278,1,94,4,2,0.08554282036203122,0,1,0
47,1,1,1,167,4,314,4,2,0.039772469736982466,0,1,0
59,1,0,0,722,1,99,4,2,0.6694851998615338,0,1,0
48,1,0,1,524,5,-1,0,2,0.13543425086492203,0,1,0
37,1,0,0,397,2,-1,0,3,0.22509509365336858,0,0,1
23,2,1,0,166,2,-1,0,3,0.04389799373143708,0,0,1
35,2,1,0,178,1,-1,0,2,0.036767199712343185,0,1,0
31,2,0,0,150,1,-1,0,3,0.15713990121362806,0,0,1
48,2,1,0,194,3,-1,0,1,0.02633877947712322,1,0,0
33,1,1,0,447,2,-1,0,1,0.06065210179078387,1,0,0
30,2,1,0,569,1,175,3,1,0.22254985197978844,1,0,0
37,1,0,1,323,1,-1,0,1,0.06885714599048054,1,0,0
32,1,0,0,69,2,-1,0,2,0.05660213032939143,0,1,0
48,0,1,1,674,1,-1,0,2,0.10295629391677656,0,1,0
29,1,1,1,262,5,-1,0,2,0.013165742899476958,0,1,0
31,2,1,0,193,1,-1,0,2,0.045818535253837014,0,1,0
29,2,0,0,340,1,-1,0,2,0.19930635097726637,0,1,0
35,1,1,0,902,2,-1,0,3,0.4332373837705928,0,0,1
35,2,0,0,78,2,-1,0,2,0.0767936403611077,0,1,0
31,2,0,0,64,5,-1,0,3,0.05986914065647353,0,0,1
30,2,1,1,305,1,223,27,3,0.4447835252194087,0,0,1
35,1,0,0,435,3,-1,0,2,0.17307563769841858,0,1,0
49,0,1,1,389,1,-1,0,1,0.025828131518276176,1,0,0
31,2,1,1,389,1,-1,0,3,0.06006305702739183,0,0,1
59,0,0,0,124,4,-1,0,3,0.0767163310590142,0,0,1
31,1,0,0,180,1,-1,0,2,0.09286681632889182,0,1,0
47,1,1,0,451,2,-1,0,2,0.09353349101355675,0,1,0
46,1,0,0,172,2,-1,0,3,0.12299064445965265,0,0,1
60,1,1,0,65,7,-1,0,1,0.008973135387765526,1,0,0
38,1,0,1,77,3,-1,0,3,0.03968114209774693,0,0,1
37,2,1,1,885,5,150,7,3,0.4353821033508929,0,0,1
49,1,1,1,834,10,-1,0,1,0.053819044338978356,1,0,0
43,1,1,1,211,2,-1,0,2,0.017640852059257306,0,1,0
40,2,1,0,70,1,-1,0,2,0.028945147005324218,0,1,0
31,1,1,0,180,2,-1,0,1,0.019642667008127123,1,0,0
31,2,0,0,528,3,-1,0,2,0.2610834805551716,0,1,0
36,2,0,0,236,4,-1,0,2,0.11229804681388517,0,1,0
54,1,1,0,1492,1,-1,0,2,0.8734014630392773,0,1,0
52,1,0,0,255,1,-1,0,2,0.14923402027371122,0,1,0
27,1,1,0,1528,2,-1,0,2,0.8359621357506627,0,1,0
44,1,0,0,520,2,-1,0,2,0.2891077815108061,0,1,0
51,1,0,0,160,5,-1,0,1,0.046474473943949414,1,0,0
38,2,1,0,184,1,351,1,3,0.16663957344641886,0,0,1
55,0,1,1,311,2,-1,0,1,0.019221431828846593,1,0,0
38,0,0,0,159,2,-1,0,3,0.10392205501372738,0,0,1
30,1,1,0,44,1,364,1,1,0.042727228128276194,1,0,0
31,1,1,0,101,16,-1,0,2,0.003184678598506615,0,1,0
31,1,0,0,146,1,-1,0,3,0.1078232951572138,0,0,1
48,0,1,0,200,1,190,1,2,0.06545631160856999,0,1,0
24,2,1,0,50,1,356,2,2,0.05351133582003779,0,1,0
31,1,0,0,192,1,93,7,3,0.26116436322207515,0,0,1
39,1,0,1,405,1,-1,0,2,0.13216762588214093,0,1,0
31,2,1,0,157,1,-1,0,2,0.036705625031085445,0,1,0
37,2,1,0,9,3,185,2,2,0.03293891668294985,0,1,0
30,2,1,0,279,5,-1,0,2,0.03353499953990662,0,1,0
46,1,1,0,50,2,-1,0,2,0.01822887115463188,0,1,0
26,2,1,0,329,4,-1,0,1,0.03541807074179967,1,0,0
55,1,0,0,124,1,-1,0,1,0.07177855248405833,1,0,0
28,1,1,0,135,1,108,2,2,0.040435387728585216,0,1,0
32,2,1,1,85,5,-1,0,2,0.009310596546817353,0,1,0
31,2,0,0,37,1,-1,0,2,0.06514413941575094,0,1,0
56,0,1,0,136,2,-1,0,2,0.022283095571190098,0,1,0
38,1,1,0,606,2,202,1,2,0.2459348727669252,0,1,0
34,1,1,0,383,2,-1,0,2,0.05821221656958335,0,1,0
42,2,1,0,158,1,-1,0,1,0.02859743806562507,1,0,0
36,0,1,0,285,1,-1,0,1,0.029427022467210337,1,0,0
44,1,1,0,94,18,-1,0,2,0.003552004814602047,0,1,0
48,0,1,0,133,1,-1,0,2,0.024202691089771883,0,1,0
47,2,1,0,193,10,-1,0,3,0.018871368456998622,0,0,1
45,1,0,0,104,6,-1,0,2,0.04029507135241132,0,1,0
35,1,1,0,23,5,-1,0,2,0.010456666331340557,0,1,0
52,1,0,0,80,2,-1,0,3,0.08559558456393243,0,0,1
52,0,0,1,275,4,-1,0,2,0.04641305259982712,0,1,0
31,1,1,0,620,3,-1,0,2,0.13631892927396766,0,1,0
31,1,0,0,47,1,-1,0,3,0.07615624232890433,0,0,1
60,0,1,0,152,1,-1,0,1,0.021471901060795915,1,0,0
29,2,1,0,119,2,251,5,3,0.11055411314634006,0,0,1
53,2,0,0,94,7,-1,0,3,0.061364127519686736,0,0,1
45,1,1,0,73,4,-1,0,3,0.029654228414629415,0,0,1
36,1,1,0,245,1,-1,0,2,0.04133034479534628,0,1,0
47,1,1,0,176,2,-1,0,2,0.0317558527997849,0,1,0
32,2,1,0,253,2,-1,0,2,0.04641699574360715,0,1,0
47,1,1,0,102,4,-1,0,1,0.01384016096927016,1,0,0
31,0,0,0,132,6,-1,0,3,0.04748979265090513,0,0,1
30,1,1,0,108,1,-1,0,2,0.024344732952492468,0,1,0
32,1,0,0,121,3,-1,0,3,0.0800002836060604,0,0,1
41,1,1,1,559,2,-1,0,2,0.06604893529940487,0,1,0
32,1,1,0,188,2,-1,0,2,0.027618682252370415,0,1,0
72,1,0,0,705,2,-1,0,2,0.5101383505503925,0,1,0
57,2,0,0,284,3,-1,0,3,0.20110444595698182,0,0,1
52,1,1,0,232,1,-1,0,2,0.0460680040941461,0,1,0
61,1,1,0,181,1,92,1,2,0.05519475983376129,0,1,0
54,1,1,1,137,2,-1,0,2,0.014764555769310643,0,1,0
40,1,1,1,258,1,-1,0,2,0.02296488709071062,0,1,0
36,1,1,0,427,3,-1,0,2,0.062238059721548715,0,1,0
40,1,1,0,125,1,-1,0,2,0.031809865776133116,0,1,0
54,0,1,0,260,3,-1,0,2,0.030359500247423742,0,1,0
38,1,1,0,248,1,-1,0,2,0.046327744658857604,0,1,0
52,0,0,0,77,1,-1,0,2,0.06699517252834374,0,1,0
40,1,0,0,255,7,-1,0,3,0.10618849754272565,0,0,1
40,1,1,0,182,1,157,2,1,0.04435923205247547,1,0,0
27,2,1,0,163,3,-1,0,3,0.04025503878034708,0,0,1
27,1,1,0,152,1,-1,0,3,0.03653395552241172,0,0,1
31,1,1,0,89,3,-1,0,2,0.016713877680185917,0,1,0
33,2,1,0,405,1,-1,0,3,0.12199949960094957,0,0,1
42,1,1,0,382,3,371,1,1,0.12502990392099042,1,0,0
32,2,0,0,193,2,-1,0,2,0.11280017466882535,0,1,0
33,2,0,0,94,4,-1,0,3,0.08272446199346489,0,0,1
29,1,1,0,72,3,341,1,2,0.04516417805980149,0,1,0
57,1,0,0,628,1,182,2,2,0.5954862648177642,0,1,0
47,0,1,0,58,7,-1,0,2,0.008720789462101542,0,1,0
37,1,1,0,634,4,-1,0,2,0.12808342169345627,0,1,0
41,0,1,0,125,1,-1,0,2,0.023936581094754675,0,1,0
31,1,0,0,37,5,-1,0,3,0.045108994944959326,0,0,1
41,1,0,0,291,3,-1,0,3,0.16967148174021443,0,0,1
56,1,1,0,302,1,-1,0,2,0.06503769359790561,0,1,0
45,1,1,0,325,2,-1,0,1,0.04088703159571706,1,0,0
30,2,0,0,233,1,137,20,3,0.6008902150195767,0,0,1
40,0,0,1,985,6,-1,0,3,0.4350063530235737,0,0,1
36,1,1,0,103,1,-1,0,2,0.024515304269800572,0,1,0
35,1,0,0,110,8,-1,0,2,0.03239896765716869,0,1,0
47,1,0,0,165,1,-1,0,2,0.10205811491118538,0,1,0
31,2,0,0,419,4,-1,0,3,0.24092051503029266,0,0,1
35,1,1,1,323,3,-1,0,2,0.022352506062958563,0,1,0
30,2,0,0,26,5,171,2,2,0.07964635795427277,0,1,0
35,1,1,1,143,1,-1,0,2,0.015011469510350513,0,1,0
52,1,1,0,105,1,-1,0,2,0.030762994462943522,0,1,0
29,2,1,0,6,1,-1,0,2,0.021321397330665137,0,1,0
35,2,1,0,133,1,90,3,3,0.0748673157875791,0,0,1
38,1,0,0,101,2,-1,0,3,0.0905283889977969,0,0,1
43,1,1,0,139,2,-1,0,2,0.03031835206057527,0,1,0
61,1,0,0,264,1,-1,0,1,0.12566688008923146,1,0,0
30,2,0,0,300,1,-1,0,3,0.2270669295768564,0,0,1
34,1,1,1,498,1,-1,0,2,0.05905929241057033,0,1,0
51,1,0,0,130,1,-1,0,2,0.08473733125693021,0,1,0
38,1,0,0,635,1,-1,0,2,0.4168603601908844,0,1,0
32,1,1,0,20,8,-1,0,2,0.006811818006479086,0,1,0
54,0,1,0,163,1,-1,0,2,0.03203801906730212,0,1,0
33,1,1,1,740,1,-1,0,2,0.1336428973412587,0,1,0
35,1,1,0,217,3,-1,0,1,0.02091588916165853,1,0,0
53,1,0,0,82,2,-1,0,1,0.03475858006188906,1,0,0
50,1,0,0,277,3,-1,0,2,0.1238364598993887,0,1,0
45,1,1,0,145,2,-1,0,2,0.025037540836418553,0,1,0
44,1,1,0,159,6,-1,0,3,0.022131767550738344,0,0,1
38,1,1,0,93,1,-1,0,2,0.023340971805613713,0,1,0
30,2,1,0,66,1,-1,0,2,0.027329846239866586,0,1,0
29,2,0,0,61,2,-1,0,1,0.052461814143340856,1,0,0
52,1,1,1,161,1,332,8,2,0.09178963989960968,0,1,0
35,1,1,0,277,1,-1,0,2,0.0460183568325754,0,1,0
52,1,0,0,172,9,-1,0,1,0.030117581313757025,1,0,0
52,1,1,0,132,1,-1,0,3,0.04208442588016603,0,0,1
49,1,0,0,1076,3,175,1,3,0.8850170379535652,0,0,1
50,0,1,0,238,2,-1,0,2,0.03102993232446666,0,1,0
28,2,0,0,252,1,88,4,2,0.24370763612660853,0,1,0
63,1,0,0,61,6,-1,0,2,0.04436025054754832,0,1,0
58,1,0,0,201,1,-1,0,3,0.15778425884079017,0,0,1
